Customer_ID,Age,Gender,Preferred_Style,Color_Palette,Room_Type,Budget_Range,Satisfaction_Rating,Feedback_Theme,Clicks_On_Designs
C073,29,Male,Traditional,Neutral,Kitchen,Mid,4,Comfort,23
C074,41,Male,Modern,Warm,Living Room,High,4,Spacious,15
C075,37,Male,Scandinavian,Cool,Home Office,Low,2,Comfort,9
C076,40,Female,Modern,Vibrant,Bathroom,Low,3,Aesthetics,9
C077,55,Female,Modern,Neutral,Bedroom,High,1,Eco-friendly,17
C078,55,Female,Minimalist,Vibrant,Living Room,Mid,4,Eco-friendly,21
C079,27,Male,Bohemian,Earthy,Home Office,High,5,Comfort,11
C080,56,Non-binary,Scandinavian,Warm,Bathroom,Mid,5,Functionality,25
C081,40,Female,Scandinavian,Warm,Bedroom,Low,4,Aesthetics,8
C082,28,Male,Minimalist,Neutral,Living Room,High,4,Aesthetics,7
C083,57,Female,Scandinavian,Cool,Bedroom,Mid,2,Functionality,25
C084,43,Male,Bohemian,Warm,Kitchen,Low,4,Minimalist,27
C085,58,Male,Minimalist,Warm,Bedroom,High,1,Functionality,12
C086,28,Female,Minimalist,Vibrant,Bathroom,Low,5,Minimalist,21
C087,25,Non-binary,Traditional,Vibrant,Bathroom,Low,2,Minimalist,29
C088,41,Non-binary,Modern,Cool,Kitchen,High,5,Comfort,25
C089,44,Non-binary,Traditional,Neutral,Bedroom,High,4,Comfort,24
C090,38,Female,Industrial,Earthy,Kitchen,Low,3,Spacious,26
C091,31,Male,Scandinavian,Neutral,Home Office,Mid,2,Minimalist,6
C092,27,Non-binary,Bohemian,Neutral,Bathroom,High,3,Spacious,25
C093,43,Male,Scandinavian,Vibrant,Kitchen,High,1,Minimalist,9
C094,29,Male,Traditional,Cool,Kitchen,High,5,Aesthetics,10
C095,60,Non-binary,Minimalist,Cool,Bedroom,Mid,4,Spacious,20
C096,45,Male,Bohemian,Neutral,Bedroom,High,5,Spacious,19
C097,41,Non-binary,Industrial,Warm,Kitchen,Mid,1,Minimalist,5
C098,37,Male,Modern,Neutral,Bedroom,High,1,Aesthetics,15
C099,29,Non-binary,Modern,Earthy,Bedroom,High,3,Functionality,5
C100,36,Male,Industrial,Cool,Bathroom,Low,3,Eco-friendly,9
